Mã Giao Dịch,Tên Khách Hàng,Số Điện Thoại,Kênh Bán,Doanh Thu,Ngày Tạo
TRX-2026-00048,VŨ THỊ HƯƠNG,0946333359,Tiki,0,06/08/2026
TRX-2026-00051,Bùi Hoài Giang,0963088188,Facebook Ads,2503000,07/08/2026
TRX-2026-00052,Bùi Ngọc Vinh,0942160363,Facebook Ads,1608000,03/08/2026
TRX-2026-00053,Dương Minh Tâm,0937510929,Cửa Hàng Trực Tiếp,7070000,04/08/2026
TRX-2026-00054,Lê Thanh Tâm,981219273,Facebook Ads,6350000,02/08/2026
TRX-2026-00055,VŨ NGỌC TÂM,0918907469,Tiki,3280000,02/08/2026
TRX-2026-00056,   ngô hồng em  ,0976.760.786,TikTok Shop,3851000,03/08/2026
TRX-2026-00057,Bùi Thanh Giang,0920573399,Shopee,2042000,08/08/2026
TRX-2026-00058,Hoàng Xuân Linh,0939668742,Facebook Ads,8238000,03/08/2026
TRX-2026-00059,Phạm Thanh Hải,0993737150,Website,3991000,01/08/2026
TRX-2026-00060,HOÀNG ANH AN,933815580,Cửa Hàng Trực Tiếp,8110000,08/08/2026
TRX-2026-00061,Dương Thanh Em,0952582038,Website,7154000,02/08/2026
TRX-2026-00062,Võ Đức Bình,0946670752,Tiki,4270000,08/08/2026
TRX-2026-00063,   ngô thành em  ,0915 209 727,Website,2387000,07/08/2026
TRX-2026-00064,Ngô Đức Hải,0998.464.084,TikTok Shop,911000,10/08/2026
TRX-2026-00065,LÊ QUANG QUÂN,0938803626,TikTok Shop,1458000,03/08/2026
TRX-2026-00066,Đặng Văn Hải,970926819,Website,1813000,05/08/2026
TRX-2026-00067,Trần Ngọc Dũng,0918128749,Facebook Ads,2824000,09/08/2026
TRX-2026-00068,Hoàng Hồng Nam,0932258643,TikTok Shop,2639000,06/08/2026
TRX-2026-00069,Vũ Xuân Em,0963076198,Tiki,1179000,08/08/2026
TRX-2026-00070,   hồ quang tâm  ,0968979983,Website,-500000,05/08/2026
TRX-2026-00071,Phạm Đức Tâm,0921486844,Facebook Ads,6763000,08/08/2026
TRX-2026-00072,Võ Quang Em,938508266,Facebook Ads,6377000,09/08/2026
TRX-2026-00073,Hồ Anh Hải,0989594477,Facebook Ads,323000,10/08/2026
TRX-2026-00074,Hoàng Thanh Nam,0981079326,Tiki,3060000,01/08/2026
TRX-2026-00027,HUỲNH NGỌC NAM,0960245179,Tiki,6074000,04/08/2026
TRX-2026-00076,Phan Hồng Em,0967799618,Website,1568000,10/08/2026
TRX-2026-00077,   hồ minh giang  ,0988117058,Lazada,7046000,04/08/2026
TRX-2026-00078,Hoàng Ngọc Dũng,943020156,Tiki,737000,03/08/2026
TRX-2026-00079,Ngô Hoài Trang,0990085894,Cửa Hàng Trực Tiếp,3217000,06/08/2026
,HUỲNH THỊ CƯỜNG,0952.810.202,Cửa Hàng Trực Tiếp,7322000,07/08/2026
TRX-2026-00081,Phan Văn Uyên,0975 194 379,Lazada,7508000,06/08/2026
TRX-2026-00082,Bùi Văn Em,0954977007,Facebook Ads,6827000,04/08/2026
TRX-2026-00083,Bùi Minh Em,0998661082,Tiki,1048000,04/08/2026
TRX-2026-00084,   trần xuân dũng  ,963008124,TikTok Shop,7354000,05/08/2026
TRX-2026-00085,VŨ NGỌC AN,0973159649,Lazada,938000,06/08/2026
TRX-2026-00086,Hoàng Ngọc An,0997699699,Facebook Ads,2746000,04/08/2026
TRX-2026-00087,Đặng Văn Em,0944743030,Website,8393000,04/08/2026
TRX-2026-00088,Hồ Ngọc Nam,0972.638.769,Cửa Hàng Trực Tiếp,3473000,08/08/2026
TRX-2026-00089,Dương Thanh Nam,0964172642,TikTok Shop,1786000,01/08/2026
TRX-2026-00090,ĐẶNG VĂN BÌNH,953606372,Lazada,1361000,10/08/2026
TRX-2026-00091,   ngô xuân linh  ,0932554101,Lazada,1106000,07/08/2026
TRX-2026-00092,Ngô Đức Sơn,0966918342,Shopee,2266000,05/08/2026
TRX-2026-00093,Lê Văn Sơn,0960161577,Website,3411000,01/08/2026
TRX-2026-00094,Võ Ngọc Quân,0950267649,Facebook Ads,3413000,10/08/2026
TRX-2026-00095,BÙI THỊ VINH,0987596274,Cửa Hàng Trực Tiếp,4668000,10/08/2026
TRX-2026-00096,Huỳnh Đức Hải,978270980,Facebook Ads,2257000,10/08/2026
TRX-2026-00097,Bùi Quang Quân,0995932722,Shopee,4661000,05/08/2026
TRX-2026-00098,   hoàng anh phúc  ,0912027533,TikTok Shop,3405000,10/08/2026
TRX-2026-00099,Dương Anh Uyên,0912 089 024,Website,1922000,07/08/2026
TRX-2026-00066,NGÔ VĂN PHÚC,0998868875,Tiki,0,06/08/2026
TRX-2026-00101,Nguyễn Thanh Vinh,0966820627,TikTok Shop,8241000,03/08/2026
TRX-2026-00102,Hồ Thanh Khánh,925575853,Facebook Ads,7303000,07/08/2026
TRX-2026-00103,Võ Ngọc Quân,0925237626,Shopee,7621000,08/08/2026
TRX-2026-00104,Đặng Hoài Vinh,0948.708.338,Cửa Hàng Trực Tiếp,6795000,01/08/2026
TRX-2026-00105,   ngô minh khánh  ,0976564160,Cửa Hàng Trực Tiếp,1667000,06/08/2026
TRX-2026-00106,Nguyễn Ngọc Dũng,0922915440,Shopee,7458000,02/08/2026
TRX-2026-00107,Bùi Xuân Vinh,0980535988,Website,2137000,03/08/2026
TRX-2026-00108,Phan Quang Khánh,955118965,Lazada,2181000,09/08/2026
TRX-2026-00109,Dương Thành Khánh,0962341792,Website,5983000,06/08/2026
TRX-2026-00110,HUỲNH THÀNH QUÂN,0956947358,Lazada,588000,03/08/2026
TRX-2026-00111,Phạm Thành Dũng,0948501859,Facebook Ads,1371000,07/08/2026
TRX-2026-00112,   trần hoài hương  ,0932.667.460,Lazada,4043000,08/08/2026
TRX-2026-00113,Đỗ Văn An,0922142088,Facebook Ads,5155000,06/08/2026
TRX-2026-00114,Đặng Thị Sơn,949538214,Shopee,7733000,03/08/2026
TRX-2026-00115,DƯƠNG THỊ NAM,0974151953,TikTok Shop,8176000,05/08/2026
TRX-2026-00116,Đỗ Ngọc Khánh,0979704678,Shopee,3872000,02/08/2026
TRX-2026-00117,Võ Thanh Nam,0912 420 567,Shopee,3444000,02/08/2026
TRX-2026-00118,Nguyễn Hoài Hương,0931713429,Facebook Ads,7352000,04/08/2026
TRX-2026-00119,   phạm thanh trang  ,0997341521,Lazada,7307000,09/08/2026
,HUỲNH HỒNG PHÚC,916875171,Lazada,6667000,05/08/2026
TRX-2026-00121,Dương Anh Quân,0940291525,Lazada,880000,04/08/2026
TRX-2026-00122,Võ Hoài Quân,0987626246,Website,3717000,02/08/2026
TRX-2026-00123,Phan Hồng Sơn,0962546741,Tiki,5915000,02/08/2026
TRX-2026-00124,Huỳnh Đức Dũng,0949358104,Lazada,7276000,09/08/2026
TRX-2026-00010,PHAN HỒNG VINH,0913483177,Cửa Hàng Trực Tiếp,7445000,07/08/2026
TRX-2026-00126,   hồ đức quân  ,938114523,Shopee,652000,08/08/2026
TRX-2026-00127,Hồ Đức Linh,0945935740,TikTok Shop,1435000,05/08/2026
TRX-2026-00128,Hoàng Ngọc Cường,0933.818.464,TikTok Shop,686000,06/08/2026
TRX-2026-00129,Nguyễn Hoài Hương,0990844017,Facebook Ads,3275000,05/08/2026
TRX-2026-00130,VÕ QUANG SƠN,0953259099,Shopee,7838000,04/08/2026
TRX-2026-00131,Đặng Xuân Dũng,0992818929,Lazada,7259000,10/08/2026
TRX-2026-00132,Phan Hồng Em,984118024,Shopee,4435000,07/08/2026
TRX-2026-00133,   võ đức giang  ,0986220961,Facebook Ads,3870000,03/08/2026
TRX-2026-00134,Dương Minh Giang,0965316450,Tiki,7106000,07/08/2026
TRX-2026-00135,TRẦN THANH HẢI,0937 210 272,Lazada,6490000,01/08/2026
TRX-2026-00136,Dương Minh Phúc,0919.968.708,Shopee,1693000,10/08/2026
TRX-2026-00137,Dương Hoài An,0951297699,Facebook Ads,3571000,09/08/2026
TRX-2026-00138,Bùi Minh Tâm,912856027,Lazada,2038000,07/08/2026
TRX-2026-00139,Phạm Thành Giang,0975190703,Website,2877000,07/08/2026
TRX-2026-00140,   võ quang hải  ,0952586025,TikTok Shop,-500000,04/08/2026
TRX-2026-00141,Huỳnh Minh Khánh,0959024406,Facebook Ads,1275000,05/08/2026
TRX-2026-00142,Phan Thành Tâm,0975873933,Tiki,3183000,06/08/2026
TRX-2026-00143,Huỳnh Văn Phúc,0948515916,Lazada,4646000,01/08/2026
TRX-2026-00144,Đặng Thanh Dũng,970905005,Tiki,6126000,09/08/2026
TRX-2026-00145,LÊ ANH BÌNH,0957889880,TikTok Shop,5126000,05/08/2026
TRX-2026-00146,Hồ Xuân Em,0983606758,Website,2654000,09/08/2026
TRX-2026-00147,   huỳnh hồng cường  ,0911372521,TikTok Shop,3337000,01/08/2026
TRX-2026-00148,Vũ Minh Trang,0914327674,TikTok Shop,3163000,08/08/2026
TRX-2026-00149,Huỳnh Hoài Em,0940198864,Facebook Ads,1556000,09/08/2026
TRX-2026-00039,HOÀNG NGỌC DŨNG,920276309,Tiki,0,08/08/2026
TRX-2026-00151,Phạm Văn Uyên,0954754373,Tiki,8404000,02/08/2026
TRX-2026-00152,Ngô Văn Khánh,0972.936.781,Shopee,3846000,07/08/2026
TRX-2026-00153,Phạm Xuân Trang,0915 753 583,Facebook Ads,3476000,05/08/2026
TRX-2026-00154,   đặng đức phúc  ,0962508653,Facebook Ads,1563000,08/08/2026
TRX-2026-00155,VŨ HỒNG BÌNH,0954995764,Shopee,8257000,05/08/2026
TRX-2026-00156,Lê Minh An,960574174,Lazada,5010000,06/08/2026
TRX-2026-00157,Đỗ Anh Bình,0972556361,Lazada,4629000,03/08/2026
TRX-2026-00158,Huỳnh Thị Quân,0968360320,Website,1279000,09/08/2026
TRX-2026-00159,Võ Anh An,0942017605,Cửa Hàng Trực Tiếp,7809000,06/08/2026
,ĐỖ HOÀI GIANG,0958.397.523,Cửa Hàng Trực Tiếp,3372000,08/08/2026
TRX-2026-00161,   phan hoài vinh  ,0915667864,Cửa Hàng Trực Tiếp,2169000,09/08/2026
TRX-2026-00162,Dương Thị An,962304980,Website,1596000,06/08/2026
TRX-2026-00163,Trần Quang Em,0966876259,Tiki,7543000,04/08/2026
TRX-2026-00164,Lê Minh Dũng,0938776605,Facebook Ads,8046000,02/08/2026
TRX-2026-00165,HUỲNH VĂN AN,0920912203,Shopee,8465000,06/08/2026
TRX-2026-00166,Nguyễn Xuân Hải,0958628128,Website,431000,05/08/2026
TRX-2026-00167,Vũ Hoài Giang,0956319740,Website,4450000,04/08/2026
TRX-2026-00168,   phan hồng khánh  ,950028179,Shopee,6061000,01/08/2026
TRX-2026-00169,Huỳnh Đức Trang,0975657052,Website,7837000,01/08/2026
TRX-2026-00170,VŨ XUÂN UYÊN,0987567468,TikTok Shop,3823000,08/08/2026
TRX-2026-00171,Võ Ngọc Hương,0950 044 866,Shopee,6259000,08/08/2026
TRX-2026-00172,Võ Thanh Khánh,0917454612,TikTok Shop,5775000,10/08/2026
TRX-2026-00173,Trần Minh Giang,0977991161,Cửa Hàng Trực Tiếp,3521000,07/08/2026
TRX-2026-00174,Hồ Thị Nam,924791891,Shopee,5151000,01/08/2026
TRX-2026-00036,   hồ hồng vinh  ,0997106297,Lazada,2657000,02/08/2026
TRX-2026-00176,Dương Quang Trang,0999.531.947,Website,1713000,03/08/2026
TRX-2026-00177,Đỗ Minh An,0980761905,TikTok Shop,6786000,05/08/2026
TRX-2026-00178,Trần Thị Linh,0961679295,Cửa Hàng Trực Tiếp,1768000,09/08/2026
TRX-2026-00179,Hồ Văn Cường,0989738594,Cửa Hàng Trực Tiếp,1644000,01/08/2026
TRX-2026-00180,NGÔ MINH AN,943292868,Tiki,6459000,08/08/2026
TRX-2026-00181,Lê Đức Hải,0965099801,Website,2979000,07/08/2026
TRX-2026-00182,   phan hồng hải  ,0930184701,Lazada,8310000,08/08/2026
TRX-2026-00183,Phạm Thành Tâm,0936676306,TikTok Shop,8013000,08/08/2026
TRX-2026-00184,Vũ Văn Giang,0970.063.263,Tiki,3286000,10/08/2026
TRX-2026-00185,ĐẶNG ĐỨC GIANG,0920052817,Cửa Hàng Trực Tiếp,463000,08/08/2026
TRX-2026-00186,Bùi Anh Sơn,953834367,Cửa Hàng Trực Tiếp,825000,09/08/2026
TRX-2026-00187,Đỗ Anh Vinh,0961076152,Shopee,6748000,08/08/2026
TRX-2026-00188,Huỳnh Hoài Sơn,0965496442,Cửa Hàng Trực Tiếp,1034000,10/08/2026
TRX-2026-00189,   võ thanh an  ,0939 545 411,Cửa Hàng Trực Tiếp,3701000,06/08/2026
TRX-2026-00190,VÕ QUANG BÌNH,0980411064,Tiki,3970000,10/08/2026
TRX-2026-00191,Nguyễn Hoài Vinh,0943617054,Website,7329000,09/08/2026
TRX-2026-00192,Phan Đức Quân,956929459,Facebook Ads,7678000,06/08/2026
TRX-2026-00193,Phan Hoài Vinh,0966416456,TikTok Shop,5179000,04/08/2026
TRX-2026-00194,Phan Hoài Trang,0983760667,Website,829000,07/08/2026
TRX-2026-00195,HỒ VĂN EM,0916629629,Facebook Ads,7500000,10/08/2026
TRX-2026-00196,   dương thị em  ,0928169976,Tiki,475000,06/08/2026
TRX-2026-00197,Vũ Ngọc Cường,0977549732,Website,3701000,01/08/2026
TRX-2026-00198,Ngô Minh Em,934122185,Cửa Hàng Trực Tiếp,6569000,10/08/2026
TRX-2026-00199,Hồ Minh Nam,0936264475,Cửa Hàng Trực Tiếp,3759000,04/08/2026
,HỒ XUÂN CƯỜNG,0937.709.106,Lazada,0,02/08/2026
TRX-2026-00201,Bùi Thành Dũng,0966338711,Shopee,7632000,05/08/2026
TRX-2026-00202,Đặng Quang Uyên,0919463270,Shopee,4602000,01/08/2026
TRX-2026-00203,   võ anh sơn  ,0935372166,TikTok Shop,2255000,03/08/2026
TRX-2026-00204,Hồ Ngọc Trang,983964782,Cửa Hàng Trực Tiếp,586000,06/08/2026
TRX-2026-00205,DƯƠNG MINH CƯỜNG,0974064892,Lazada,4787000,10/08/2026
TRX-2026-00206,Hoàng Anh Khánh,0998119872,Website,8340000,08/08/2026
TRX-2026-00207,Bùi Thị Sơn,0932 089 076,Cửa Hàng Trực Tiếp,522000,05/08/2026
TRX-2026-00208,Vũ Thị Uyên,0991.616.375,TikTok Shop,7462000,03/08/2026
TRX-2026-00209,Bùi Hồng An,0913356994,Website,3591000,06/08/2026
TRX-2026-00210,   trần thanh linh  ,949538354,Facebook Ads,-500000,05/08/2026
TRX-2026-00211,Dương Hoài Em,0991708767,Cửa Hàng Trực Tiếp,3082000,04/08/2026
TRX-2026-00212,Ngô Đức Nam,0962815891,Shopee,1029000,05/08/2026
TRX-2026-00213,Trần Đức Sơn,0970452799,Shopee,2217000,03/08/2026
TRX-2026-00214,Huỳnh Xuân Sơn,0921053137,Lazada,8187000,09/08/2026
TRX-2026-00215,LÊ MINH EM,0914141032,TikTok Shop,3051000,09/08/2026
TRX-2026-00216,Ngô Hồng Tâm,976295372,Lazada,8291000,01/08/2026
TRX-2026-00217,   võ đức nam  ,0931928293,Website,170000,03/08/2026
TRX-2026-00218,Nguyễn Ngọc Uyên,0937995905,Website,8370000,02/08/2026
TRX-2026-00219,Phan Văn Khánh,0983138080,Shopee,3755000,03/08/2026
TRX-2026-00220,PHẠM ĐỨC UYÊN,0928274529,TikTok Shop,7243000,10/08/2026
TRX-2026-00221,Lê Thanh Dũng,0998224799,Facebook Ads,1011000,09/08/2026
TRX-2026-00222,Đỗ Hoài An,942382358,Facebook Ads,1020000,06/08/2026
TRX-2026-00223,Dương Hoài Uyên,0980027938,Lazada,7507000,04/08/2026
TRX-2026-00224,   võ văn khánh  ,0918.563.425,Tiki,3824000,04/08/2026
TRX-2026-00039,HỒ HOÀI BÌNH,0939 912 655,Lazada,707000,02/08/2026
TRX-2026-00226,Võ Thành Trang,0928675590,Shopee,3712000,02/08/2026
TRX-2026-00227,Lê Hồng Tâm,0910912250,Tiki,7473000,06/08/2026
TRX-2026-00228,Vũ Hồng Giang,947562433,Tiki,8062000,04/08/2026
TRX-2026-00229,Nguyễn Quang Uyên,0917397805,Cửa Hàng Trực Tiếp,3473000,04/08/2026
TRX-2026-00230,ĐỖ HOÀI LINH,0942037338,Cửa Hàng Trực Tiếp,3181000,10/08/2026
TRX-2026-00231,   lê ngọc trang  ,0966085688,Facebook Ads,5485000,02/08/2026
TRX-2026-00232,Dương Hoài An,0937.585.726,Shopee,7169000,03/08/2026
TRX-2026-00233,Hoàng Thị Giang,0936616299,Tiki,7918000,03/08/2026
TRX-2026-00234,Đỗ Quang Linh,933742289,Shopee,1558000,10/08/2026
TRX-2026-00235,BÙI NGỌC VINH,0932961751,Facebook Ads,3724000,09/08/2026
TRX-2026-00236,Vũ Văn Quân,0991795766,Shopee,3382000,05/08/2026
TRX-2026-00237,Hoàng Hoài Bình,0942449531,Lazada,6880000,03/08/2026
TRX-2026-00238,   hoàng đức vinh  ,0975131890,TikTok Shop,6906000,05/08/2026
TRX-2026-00239,Hồ Quang Nam,0933140316,TikTok Shop,1404000,08/08/2026
,NGÔ HOÀI DŨNG,938018043,Facebook Ads,1341000,04/08/2026
TRX-2026-00241,Bùi Thành An,0957993813,Facebook Ads,5890000,08/08/2026
TRX-2026-00242,Đỗ Xuân Cường,0995418909,Website,2608000,01/08/2026
TRX-2026-00243,Trần Thị An,0954 315 559,Website,4779000,03/08/2026
TRX-2026-00244,Hoàng Thành Hương,0942907196,Facebook Ads,4475000,06/08/2026
TRX-2026-00245,   hoàng minh nam  ,0996012798,Cửa Hàng Trực Tiếp,7610000,04/08/2026
TRX-2026-00246,Võ Thị Giang,966262762,TikTok Shop,3300000,06/08/2026
TRX-2026-00247,Trần Đức Uyên,0960828025,TikTok Shop,2455000,07/08/2026
TRX-2026-00248,Lê Minh Hương,0989.405.789,Website,2326000,05/08/2026
TRX-2026-00249,Đặng Hoài Cường,0956446975,Website,1352000,04/08/2026
TRX-2026-00219,LÊ ANH DŨNG,0982078351,TikTok Shop,0,09/08/2026
TRX-2026-00251,Vũ Văn Phúc,0926061193,Cửa Hàng Trực Tiếp,4383000,09/08/2026
TRX-2026-00252,   đỗ hoài quân  ,959826625,TikTok Shop,5075000,08/08/2026
TRX-2026-00253,Hoàng Thị Dũng,0957307680,Cửa Hàng Trực Tiếp,1709000,04/08/2026
TRX-2026-00254,Đặng Hoài Quân,0925536481,Cửa Hàng Trực Tiếp,8327000,06/08/2026
TRX-2026-00255,HOÀNG XUÂN DŨNG,0985019659,Shopee,1944000,08/08/2026
TRX-2026-00256,Lê Ngọc Phúc,0929.696.115,Cửa Hàng Trực Tiếp,6376000,07/08/2026
TRX-2026-00257,Huỳnh Quang Giang,0954537022,Shopee,3762000,02/08/2026
TRX-2026-00258,Phan Anh Phúc,999321455,Shopee,5946000,02/08/2026
TRX-2026-00259,   hồ ngọc bình  ,0943770197,Cửa Hàng Trực Tiếp,1459000,03/08/2026
TRX-2026-00260,HUỲNH ANH LINH,0943637869,Shopee,7257000,04/08/2026
TRX-2026-00261,Vũ Đức Khánh,0912 557 251,Shopee,6069000,10/08/2026
TRX-2026-00262,Hoàng Ngọc Hải,0981070260,Cửa Hàng Trực Tiếp,7448000,10/08/2026
TRX-2026-00263,Trần Văn Vinh,0977534909,Facebook Ads,2308000,08/08/2026
TRX-2026-00264,Trần Anh An,911170721,Cửa Hàng Trực Tiếp,6821000,05/08/2026
TRX-2026-00265,DƯƠNG NGỌC KHÁNH,0916050809,Lazada,831000,02/08/2026
TRX-2026-00266,   ngô quang nam  ,0952653263,Tiki,6185000,03/08/2026
TRX-2026-00267,Hoàng Quang Vinh,0977625800,Website,7631000,03/08/2026
TRX-2026-00268,Đặng Thanh Hương,0952892077,Facebook Ads,7455000,06/08/2026
TRX-2026-00269,Trần Thanh Hải,0943033444,Cửa Hàng Trực Tiếp,1141000,09/08/2026
TRX-2026-00270,PHẠM HỒNG KHÁNH,924273327,Lazada,3725000,04/08/2026
TRX-2026-00271,Bùi Quang Em,0998699886,Tiki,7097000,09/08/2026
TRX-2026-00272,Võ Ngọc Sơn,0961.639.080,Shopee,2981000,02/08/2026
TRX-2026-00273,   trần thành hương  ,0912732563,Lazada,6514000,03/08/2026
TRX-2026-00274,Phạm Hoài Khánh,0941428767,Tiki,5627000,09/08/2026
TRX-2026-00024,NGÔ MINH KHÁNH,0955579825,Tiki,799000,03/08/2026
TRX-2026-00276,Lê Thanh Em,923759954,Cửa Hàng Trực Tiếp,1269000,06/08/2026
TRX-2026-00277,Đỗ Đức Khánh,0942132339,TikTok Shop,2233000,05/08/2026
TRX-2026-00278,Ngô Anh Cường,0928003651,Website,3147000,09/08/2026
TRX-2026-00279,Hoàng Thị Tâm,0926 718 713,Website,1442000,01/08/2026
,   phan thanh phúc  ,0941.380.288,Lazada,-500000,04/08/2026
TRX-2026-00281,Trần Minh Dũng,0971713767,Lazada,4290000,07/08/2026
TRX-2026-00282,Võ Thanh Sơn,942576301,TikTok Shop,4884000,07/08/2026
TRX-2026-00283,Dương Xuân Bình,0958774411,Cửa Hàng Trực Tiếp,7076000,10/08/2026
TRX-2026-00284,Bùi Xuân Khánh,0975866383,Cửa Hàng Trực Tiếp,1096000,02/08/2026
TRX-2026-00285,TRẦN XUÂN GIANG,0930707536,Website,390000,04/08/2026
TRX-2026-00286,Võ Đức Trang,0912321669,Lazada,1026000,07/08/2026
TRX-2026-00287,   đặng xuân hương  ,0913784851,Tiki,5743000,03/08/2026
TRX-2026-00288,Đặng Đức Giang,957910164,Tiki,7487000,10/08/2026
TRX-2026-00289,Võ Hoài Quân,0937046405,Website,1248000,01/08/2026
TRX-2026-00290,LÊ VĂN EM,0963437572,Facebook Ads,7479000,08/08/2026
TRX-2026-00291,Đỗ Ngọc An,0947077990,Facebook Ads,4469000,04/08/2026
TRX-2026-00292,Bùi Hoài Quân,0942165562,Lazada,678000,03/08/2026
TRX-2026-00293,Nguyễn Hồng Sơn,0957980442,Tiki,6010000,02/08/2026
TRX-2026-00294,   bùi văn tâm  ,930896626,Shopee,7113000,01/08/2026
TRX-2026-00295,PHẠM ĐỨC HẢI,0973538163,Facebook Ads,7720000,04/08/2026
TRX-2026-00296,Lê Hoài Bình,0974.697.342,Cửa Hàng Trực Tiếp,6920000,06/08/2026
TRX-2026-00297,Trần Thành Vinh,0981 224 352,Shopee,293000,03/08/2026
TRX-2026-00298,Đặng Thị Quân,0914581962,Shopee,1824000,08/08/2026
TRX-2026-00299,Võ Đức Tâm,0948268341,Tiki,4804000,06/08/2026
TRX-2026-00071,NGUYỄN XUÂN AN,977285170,Lazada,0,09/08/2026
TRX-2026-00301,   bùi xuân giang  ,0917622868,TikTok Shop,2762000,06/08/2026
TRX-2026-00302,Huỳnh Hoài Giang,0994475271,Cửa Hàng Trực Tiếp,3331000,01/08/2026
TRX-2026-00303,Võ Ngọc Dũng,0960181745,Website,444000,07/08/2026
TRX-2026-00304,Võ Văn An,0986.049.429,Website,179000,07/08/2026
TRX-2026-00305,BÙI THANH HẢI,0917492909,Website,6299000,09/08/2026
TRX-2026-00306,Nguyễn Thị Phúc,996934711,Lazada,4810000,05/08/2026
TRX-2026-00307,Dương Quang Nam,0917419383,Lazada,2825000,07/08/2026
